Google_Vol.,Google_Price_MA_50,Google_Price_EMA_12,Google_Price_Volatility_30,Google_Price_Lag_7,Google_Price_Lag_30,Google_Price_BB_Upper,Google_Price_BB_Lower,Google_Price_RSI_14,Google_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
19280000.0,133.4242,136.93162508172097,0.023105722255706708,137.96,136.25,146.607688445063,119.43631155493699,75.10040160642569,1.4065934065933927,3.376,86.38,3.646,27581.4,888.8,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,452.73,523690.0,385.95,128.26,318.36,1864.3
27600000.0,133.4598,137.0313750691485,0.02309670778891806,139.72,135.31,147.04561052073888,119.8463894792611,73.11178247734144,1.4601769911504636,3.338,82.79,3.6275,27936.9,881.5,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,457.62,525425.0,381.51,127.96,315.43,1845.2
19780000.0,133.5092,136.7296250585103,0.023251061822290982,139.1,136.93,147.1453469213555,120.50465307864448,64.65303593556382,-1.945553539019973,3.166,82.31,3.552,27410.3,862.5,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,446.88,523545.0,372.59,125.96,304.79,1831.8
26610000.0,133.5752,136.50045197258564,0.02303764550435056,137.36,134.62,147.13264667881006,121.39635332118993,40.72727272727274,-1.9715859669469427,2.962,84.22,3.589,27790.9,874.2,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,440.41,521675.0,376.9,127.0,305.58,1834.8
22920000.0,133.5724,135.87422859218785,0.023321209053352755,138.97,133.62,146.67062548637801,122.69337451362195,39.69620253164559,-5.217578013169188,2.949,89.23,3.621,27428.4,879.6,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,435.17,521919.0,376.75,124.72,300.94,1841.5
22250000.0,133.6054,135.6120395780051,0.02333870996820525,140.55,132.09,146.15804689506544,124.17695310493454,46.52744050509954,-3.544212796549251,2.84,88.82,3.6415,27505.3,886.8,1662.79,4288.39,14837.57,173.75,251.6,321.8,21.421,447.82,527960.0,380.33,129.46,306.82,1847.2
30860000.0,133.5568,134.88095656600433,0.023785996732267695,138.06,132.59,145.00083889805438,126.20316110194568,34.160919540229884,-4.732090856144433,2.929,90.79,3.7375,26909.8,915.9,1667.72,4288.05,14715.24,171.21,250.22,315.75,22.45,434.99,531477.0,377.6,127.12,300.21,1866.1
22360000.0,133.5032,134.48542478661903,0.02363410598641278,138.42,130.24,143.32827979995895,128.87872020004104,37.712048716833344,-4.792401237677191,2.945,91.71,3.708,27022.6,915.1,1652.89,4299.7,14702.77,170.69,246.38,313.64,22.741,430.89,541105.0,376.36,125.98,303.96,1878.6
22690000.0,133.3754,133.8784363579084,0.023667887083108782,137.58,131.84,142.28937086868547,130.41062913131452,30.043478260869506,-7.122020633226622,2.764,93.68,3.6365,26366.1,896.3,1598.49,4274.51,14580.16,170.43,240.5,312.79,22.724,424.68,542495.0,377.59,125.98,297.74,1890.9
25660000.0,133.3464,133.0617538413071,0.023799074182150482,135.07,130.97,142.59382430982805,129.08217569017194,28.377823408624167,-6.873822975517896,2.656,90.39,3.649,26218.9,914.2,1594.04,4273.53,14545.83,171.96,244.12,312.14,23.196,419.11,545870.0,379.25,125.98,298.96,1919.8
