Crude_oil_Vol.,Crude_oil_Price_MA_50,Crude_oil_Price_EMA_12,Crude_oil_Price_Volatility_30,Crude_oil_Price_Lag_7,Crude_oil_Price_Lag_30,Crude_oil_Price_BB_Upper,Crude_oil_Price_BB_Lower,Crude_oil_Price_RSI_14,Crude_oil_Price_ROC_10,Natural_Gas_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
406710.0,80.9166,87.35242986215457,0.025728858318446127,86.38,75.74,92.06090922727995,81.00809077272007,56.71819262782402,10.613918707031722,2.945,3.708,27022.6,915.1,1652.89,4299.7,14702.77,170.69,246.38,313.64,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
504630.0,81.40339999999999,88.32590219105386,0.025760124441008236,82.79,75.33,93.29652798961483,80.60147201038517,63.74314800313235,12.205054497544632,2.764,3.6365,26366.1,896.3,1598.49,4274.51,14580.16,170.43,240.5,312.79,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
318020.0,81.8236,88.64345570012249,0.026627814526508475,82.31,77.37,93.61793524222757,80.94506475777241,56.468955948664586,5.141328370361764,2.656,3.649,26218.9,914.2,1594.04,4273.53,14545.83,171.96,244.12,312.14,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
328370.0,82.1708,88.8029240539498,0.025680401241896668,84.22,80.82,93.85504340188287,81.12695659811713,53.490003507541225,3.820328779810156,2.639,3.67,26302.7,923.6,1588.62,4337.44,14768.89,176.08,246.99,317.54,23.385,131.11,422.22,548360.0,384.8,131.27,300.83,1936.6
402090.0,82.5106,88.99170496872675,0.02563997038638299,89.23,80.51,93.99761306908081,81.11238693091917,64.78405315614619,8.745017514192522,2.637,3.696,26581.9,934.1,1593.1,4320.06,14701.1,174.79,244.88,317.01,23.844,130.25,416.1,546215.0,379.81,129.12,299.08,1945.6
351030.0,82.8218,89.08990420430725,0.02539532262528592,88.82,82.46,94.02706168841367,81.10893831158636,62.84518828451882,8.89320860162799,2.61,3.696,26570.0,924.6,1584.03,4330.0,14694.24,173.93,255.7,319.53,23.687,130.44,410.17,551030.0,384.15,129.33,295.73,1939.6
66429.0,83.1082,89.27299586518305,0.02486177615357668,90.79,80.44,94.23169842358524,81.10030157641475,59.76438604440417,7.195440512942297,2.733,3.776,27125.0,942.3,1622.28,4402.2,14969.92,175.49,262.59,320.77,23.836,133.74,422.39,556580.0,386.3,135.29,299.67,1967.1
94600.0,83.375,89.56945803977028,0.024880359319479208,91.71,81.02,94.62409704048434,81.16190295951566,60.673162090345436,2.207777653255638,2.848,3.747,27209.2,948.4,1643.08,4443.95,15191.23,179.07,266.5,328.65,23.456,138.04,435.2,563073.0,396.2,137.63,305.07,1953.7
119260.0,83.6764,89.86338757211331,0.024782957204802416,93.68,82.31,95.02252715141528,81.24547284858473,72.5480020757654,2.994820986264357,2.728,3.779,26763.5,938.3,1636.92,4453.53,15225.37,177.97,265.28,329.06,23.498,138.21,439.66,562800.0,394.4,139.98,302.55,1953.4
315000.0,83.9946,90.0028664071728,0.023938010719930174,90.39,85.54,95.27178754123065,81.30421245876934,71.69230769230762,-0.022028857803735313,2.644,3.801,26601.0,929.5,1641.31,4450.32,15202.4,175.01,274.39,330.22,23.386,137.4,439.0,559500.0,396.94,140.39,300.31,1946.2
325270.0,84.287,90.0270408060693,0.023352150302272653,89.68,83.21,95.1979220720425,82.10307792795749,66.31868131868127,-1.6901101297568388,2.708,3.8215,26524.7,911.1,1626.49,4505.1,15473.89,175.74,276.04,338.7,22.994,138.1,455.81,561740.0,400.49,144.72,311.72,1932.8
345970.0,84.51539999999999,89.79518837436632,0.02323367897657153,90.03,85.39,94.98472307441294,82.81927692558706,47.606203641267676,-5.5081127241673915,2.68,3.793,26223.0,905.2,1607.63,4467.44,15348.53,174.21,271.3,336.06,23.181,136.71,454.85,557955.0,412.24,144.85,305.06,1932.5
341140.0,84.7368,89.6482363167715,0.02290113544931348,89.63,83.74,94.97034678904693,83.12065321095308,50.06784260515608,-1.7147914592322122,2.743,3.792,25834.5,912.8,1592.5,4461.9,15289.74,176.3,267.48,331.77,23.402,135.34,448.7,557415.0,434.69,141.23,301.66,1935.1
292390.0,84.9306,89.28543072957589,0.02289315634416345,90.28,85.49,94.94318951378531,83.2388104862147,37.77932960893857,-2.6650312221231043,2.608,3.807,25166.4,902.3,1551.89,4487.46,15461.87,179.36,273.58,337.94,23.383,136.92,451.78,555309.0,445.36,143.1,307.56,1947.2
294440.0,85.163,89.01228754041037,0.021795507153387593,91.2,88.75,94.44377571173546,84.21022428826454,34.5814977973569,-2.799066977674103,2.605,3.7165,25909.5,894.8,1636.45,4457.49,15280.23,178.18,248.5,334.27,23.174,136.38,455.72,551405.0,442.8,138.23,297.89,1942.7
270740.0,85.44239999999999,88.68270484188571,0.02178841489181572,91.48,89.37,93.66200300513717,85.44799699486282,22.29454841334423,-3.0793261184871024,2.579,3.762,26249.8,909.6,1648.09,4451.14,15258.52,177.56,251.49,329.91,23.24,135.26,462.41,548930.0,443.14,137.85,298.67,1942.5
307120.0,85.66,88.50690409698021,0.021738246896082995,90.77,88.32,93.1289591052642,86.3130408947358,35.26370217166499,-3.0350022153300737,2.51,3.786,25758.0,915.3,1633.18,4465.48,15371.44,182.91,251.92,332.88,23.503,134.46,470.61,548660.0,445.76,135.36,299.17,1944.2
