Platinum_Vol.,Platinum_Price_MA_50,Platinum_Price_EMA_12,Platinum_Price_Volatility_30,Platinum_Price_Lag_7,Platinum_Price_Lag_30,Platinum_Price_BB_Upper,Platinum_Price_BB_Lower,Platinum_Price_RSI_14,Platinum_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
0.0,918.8430000000001,922.196668979621,0.014515674957876338,914.8,905.2,960.1868371748068,880.0381628251931,60.909090909090914,5.4023761488455335,2.56,81.37,3.9085,29712.2,1874.21,4576.73,15718.01,195.6,261.07,336.34,24.326,131.55,465.07,534400.0,438.62,131.69,322.71,1978.8
0.0,920.2109999999999,927.7971814442947,0.01483285309335446,892.7,912.8,957.1564523970343,882.0185476029657,64.13079746413081,5.712395235994716,2.634,81.8,4.008,29232.4,1856.17,4588.96,15757.0,196.45,267.43,335.92,24.972,132.72,467.29,535400.0,438.97,133.68,318.6,2009.2
0.0,921.3090000000001,930.2437689144032,0.014974901173510758,904.45,902.3,956.8910098277136,882.1439901722863,64.64850319542552,3.181718784167953,2.638,80.58,3.9265,29315.0,1874.23,4582.23,15750.93,195.83,266.44,338.37,24.495,132.58,467.5,533113.0,425.78,132.21,325.48,1999.9
0.0,922.5790000000001,932.5139583121872,0.014857675476540717,926.9,894.8,957.7955189975007,881.7494810024989,69.02905740609499,3.3012680367293434,2.492,80.09,3.8755,29222.7,1861.32,4537.41,15464.93,193.22,255.71,330.72,24.243,129.4,459.0,531650.0,413.17,128.25,311.71,1965.3
0.0,924.7690000000001,938.5887339564662,0.015417537468885826,928.5,909.6,965.8465958651965,877.3884041348034,73.86363636363637,8.883163436764875,2.665,78.78,3.902,29352.2,1872.0,4566.75,15499.26,194.5,264.35,337.77,24.841,129.27,454.52,531900.0,422.67,128.15,298.57,1989.7
0.0,926.817,944.4366210400867,0.015406566665556998,921.8,915.3,974.9795331919381,873.7754668080618,72.20101781170487,7.97722372712697,2.73,79.63,3.9155,29228.6,1857.67,4567.46,15561.42,193.62,265.28,350.98,24.695,122.21,456.79,528453.0,427.7,129.13,294.47,1983.1
0.0,928.615,948.292525495458,0.015131703441660574,930.4,933.5,981.2890446496201,873.3759553503801,67.53993610223642,4.5959650447729095,2.685,78.74,3.8555,29178.1,1850.04,4554.64,15448.02,192.75,269.06,345.11,24.451,121.53,446.12,532647.0,428.37,128.8,291.61,1981.6
0.0,930.3229999999999,951.9705984961568,0.013494794891303757,940.4,968.7,987.3690499755666,872.8909500244337,68.05031446540883,4.70651588583737,2.707,77.07,3.818,29903.1,1891.75,4536.34,15425.67,191.94,260.02,343.77,24.855,120.02,443.09,527750.0,427.5,130.0,294.26,1966.6
16770.0,931.2870000000001,953.8366602659787,0.013538133010859476,958.6,974.4,990.659675911411,875.995324088589,74.62068965517238,4.588847906270344,2.731,75.63,3.8345,29801.0,1891.23,4534.87,15466.09,193.13,262.9,346.87,24.992,119.2,455.2,526240.0,437.42,129.96,302.52,1970.9
0.0,932.6809999999999,958.6002509942897,0.014012556837359521,943.7,983.3,996.1477670382337,879.8572329617662,76.09613510880152,5.846947549441106,2.585,75.35,3.814,29909.7,1888.65,4565.72,15826.35,195.1,291.26,355.08,25.387,122.03,470.77,520500.0,477.59,135.36,316.01,1980.8
