Bitcoin_Vol.,Bitcoin_Price_MA_50,Bitcoin_Price_EMA_12,Bitcoin_Price_Volatility_30,Bitcoin_Price_Lag_7,Bitcoin_Price_Lag_30,Bitcoin_Price_BB_Upper,Bitcoin_Price_BB_Lower,Bitcoin_Price_RSI_14,Bitcoin_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
47810.0,32173.341999999997,27038.650662704324,0.024430613651075718,27505.3,34931.4,28646.298807064843,25828.941192935163,46.42973589827195,-3.065635910588349,2.61,89.63,3.696,924.6,1584.03,4330.0,14694.24,173.93,255.7,319.53,23.687,130.44,410.17,551030.0,384.15,129.33,295.73,1939.6
47230.0,31961.584,27051.935176134426,0.02468008945380662,26909.8,35423.8,28491.00804879814,25864.561951201867,46.93152454780361,-2.3961080785437017,2.733,90.28,3.776,942.3,1622.28,4402.2,14969.92,175.49,262.59,320.77,23.836,133.74,422.39,556580.0,386.3,135.29,299.67,1967.1
52170.0,31748.658,27076.129764421436,0.024637336344113876,27022.6,34650.6,28298.49044564948,25937.63955435051,45.59859987701621,-0.7991716614895505,2.848,91.2,3.747,948.4,1643.08,4443.95,15191.23,179.07,266.5,328.65,23.456,138.04,435.2,563073.0,396.2,137.63,305.07,1953.7
63350.0,31527.461999999996,27028.032877587368,0.024681522034721366,26366.1,34477.9,28020.73402683789,26040.775973162104,36.413949610967016,-2.6969347725711024,2.728,91.48,3.779,938.3,1636.92,4453.53,15225.37,177.97,265.28,329.06,23.498,138.21,439.66,562800.0,394.4,139.98,302.55,1953.4
43247.0,31314.51,26962.335511804697,0.02462992432021699,26218.9,33901.8,28023.7740267309,26011.485973269097,39.76683610247074,-1.1475373284082324,2.644,90.77,3.801,929.5,1641.31,4450.32,15202.4,175.01,274.39,330.22,23.386,137.4,439.0,559500.0,396.94,140.39,300.31,1946.2
53820.0,31090.658000000003,26895.00697152705,0.024482449593827713,26302.7,34153.7,28030.035063465803,25981.584936534193,32.654794520547924,-1.842531806709935,2.708,90.16,3.8215,911.1,1626.49,4505.1,15473.89,175.74,276.04,338.7,22.994,138.1,455.81,561740.0,400.49,144.72,311.72,1932.8
43247.0,30866.902000000002,26791.621283599812,0.024246564419797757,26581.9,34496.8,28054.81117513042,25891.448824869574,33.207957204948144,-0.5427423851081414,2.68,88.52,3.793,905.2,1607.63,4467.44,15348.53,174.21,271.3,336.06,23.181,136.71,454.85,557955.0,412.24,144.85,305.06,1932.5
78710.0,30667.32,26644.371855353686,0.024226604646722584,26570.0,33917.0,28070.342791956617,25720.267208043384,28.583880229696476,-1.4661179530796487,2.743,88.84,3.792,912.8,1592.5,4461.9,15289.74,176.3,267.48,331.77,23.402,135.34,448.7,557415.0,434.69,141.23,301.66,1935.1
56320.0,30421.566000000003,26416.991569914655,0.024227981819489604,27125.0,33041.8,28134.52137028853,25414.58862971147,28.061609704535172,-4.320088812175172,2.608,87.29,3.807,902.3,1551.89,4487.46,15461.87,179.36,273.58,337.94,23.383,136.92,451.78,555309.0,445.36,143.1,307.56,1947.2
43247.0,30207.847999999998,26338.915943773936,0.017840381729214882,27209.2,29674.5,27969.083162462488,25377.286837537507,37.91081086951801,-2.5295407777472745,2.605,87.51,3.7165,894.8,1636.45,4457.49,15280.23,178.18,248.5,334.27,23.174,136.38,455.72,551405.0,442.8,138.23,297.89,1942.7
43247.0,30009.62,26325.205798577947,0.01732069346909142,26763.5,28723.0,27875.52757779541,25354.792422204584,48.64373177842566,-1.2051185547610088,2.579,86.87,3.762,909.6,1648.09,4451.14,15258.52,177.56,251.49,329.91,23.24,135.26,462.41,548930.0,443.14,137.85,298.67,1942.5
43247.0,29767.282000000003,26237.943368027492,0.017447548142015643,26601.0,28321.7,27700.392827748077,25326.63717225193,45.02493469484681,-5.039631336405526,2.51,87.54,3.786,915.3,1633.18,4465.48,15371.44,182.91,251.92,332.88,23.503,134.46,470.61,548660.0,445.76,135.36,299.17,1944.2
43247.0,29572.1,26169.05977294634,0.017430970406425897,26524.7,28403.6,27578.060426131015,25285.149573868985,44.405632572863226,-5.215147817649912,2.582,86.69,3.8485,933.5,1634.46,4496.83,15508.24,189.7,256.49,333.55,23.873,135.77,485.2382,546627.0,448.68,137.27,300.15,1952.6
58080.0,29358.597999999998,26112.77365403152,0.017397460880956995,26223.0,28509.7,27406.8301253557,25286.1698746443,40.97536100873837,-3.5880957273899172,2.765,85.55,3.852,968.7,1629.0,4515.77,15490.86,189.46,245.01,328.66,24.562,135.66,485.09,550000.0,439.88,138.12,296.38,1967.1
69110.0,29131.284,26085.77770725744,0.014065738542842815,25834.5,26863.5,27338.449215719884,25257.300784280116,42.869379014989285,-2.4950189842487203,2.768,83.63,3.822,974.4,1645.82,4507.66,15501.07,187.87,258.08,327.76,24.812,136.17,485.2382,546725.0,433.68,138.01,295.89,1965.9
46540.0,28943.25,26272.396521525523,0.017113772921837817,25166.4,26761.1,27399.03668624458,25224.333313755415,51.657448025939345,2.918411895327755,2.796,81.63,3.844,983.3,1705.22,4514.87,15462.43,187.65,256.9,328.79,25.104,135.88,485.2382,547348.0,434.67,135.07,295.1,1973.0
98320.0,28784.99,26495.704748983135,0.017315633055135483,25909.5,26876.6,27637.417279251924,25121.732720748078,54.608785973960856,5.723601418601998,2.556,81.16,3.8295,983.0,1729.69,4497.63,15376.55,184.12,257.18,328.41,25.139,134.57,485.2382,543593.0,429.99,134.91,297.99,1965.1
43247.0,28598.846,26437.73478760111,0.02005520725963483,26249.8,27391.0,27635.89671258231,25113.25328741769,45.22037015067031,1.100853509841504,2.579,80.1,3.7855,969.1,1653.22,4433.31,15052.46,180.19,238.82,323.7,24.605,131.01,468.35,539605.0,418.06,133.14,290.26,1946.8
43247.0,28419.15,26379.190974124016,0.019993644207652345,25758.0,27581.4,27631.321716872775,25093.278283127223,45.90660002408768,3.539640155127466,2.54,79.83,3.779,945.1,1653.74,4405.71,14941.83,178.61,238.59,322.98,24.583,129.88,460.18,540000.0,416.03,133.26,285.5,1939.9
43247.0,28248.316000000003,26348.08467041263,0.019841757757422796,25790.2,27936.9,27609.243457674373,25074.866542325628,47.39975171629847,1.032439838669208,2.519,79.05,3.7875,939.9,1660.89,4376.31,14816.44,176.38,230.04,319.97,24.575,129.78,471.63,537780.0,406.93,131.84,286.75,1947.1
60960.0,28078.412,26361.640874964534,0.019692425163863915,25803.2,27410.3,27598.893936664877,25071.836063335126,51.60460005418913,0.7101006483859029,2.497,78.89,3.8305,935.1,1679.93,4436.01,15148.06,181.12,236.86,327.0,24.71,132.37,471.16,537150.0,427.55,135.52,294.24,1948.1
47720.0,27890.734000000004,26312.142278816147,0.019644542057713623,25937.3,27790.9,27494.04940995028,25068.17059004973,51.54408227086843,1.094417268421477,2.56,80.35,3.7825,921.4,1634.29,4387.55,14908.96,177.23,233.19,322.46,23.763,129.08,456.68,531840.0,413.17,134.25,287.6,1926.0
43247.0,27720.242000000002,26283.505005152125,0.01955360037681646,27298.8,27428.4,27359.46899112693,25094.43100887307,57.90549001515849,1.3020449628153408,2.632,80.72,3.7465,910.4,1667.6,4399.77,14936.69,175.84,231.28,321.88,23.659,128.37,469.67,534700.0,408.29,134.68,289.9,1923.0
93050.0,27551.748000000003,26248.073465897953,0.019538446343836034,27723.9,27505.3,27297.34480554474,25085.525194455262,51.330826649873124,0.9688720778818105,2.551,81.25,3.706,916.25,1661.26,4369.71,14694.84,174.49,215.49,316.48,22.733,127.46,432.99,535817.0,404.53,133.22,283.25,1916.5
132920.0,27406.426,26307.708317298268,0.019634641352588765,26118.9,26909.8,27301.89055821588,25084.449441784123,53.42043218521212,2.6926472686054526,2.621,80.39,3.6915,900.15,1683.89,4370.36,14715.81,174.0,219.22,316.88,22.715,129.92,433.43,535821.0,403.0,133.98,285.09,1915.2
43710.0,27297.878000000004,26679.799345406227,0.024326705240566654,26057.2,27022.6,27886.28335669879,24720.21664330121,70.49959253580852,5.229167582457839,2.592,79.38,3.6575,891.3,1807.81,4404.33,14876.47,176.57,225.6,320.4,22.535,128.7,434.86,537497.0,415.45,135.07,294.29,1928.3
43247.0,27191.848,27066.799446112964,0.02392122810322778,26177.0,26366.1,28494.528852372547,24409.201147627457,72.17814946526502,5.307334105230499,2.659,80.99,3.6675,892.2,1828.98,4437.86,15037.65,177.45,232.96,321.86,22.656,129.78,439.4,538107.0,423.7,137.67,301.95,1935.2
43247.0,27102.042,27429.861069787894,0.023868007000656746,26436.2,26218.9,29043.836492397015,24219.113507602982,72.94777773555751,12.664392451443195,2.795,82.51,3.7255,906.8,1845.51,4489.72,15205.58,179.46,239.76,324.04,22.708,131.33,437.53,543150.0,427.78,140.57,306.19,1944.0
43247.0,27029.622000000003,27736.159366743603,0.023880626151499124,26039.9,26302.7,29454.759008005676,24233.630991994323,72.42529194401885,12.908524323411562,2.77,83.19,3.719,914.6,1848.88,4464.05,15028.07,177.79,242.65,321.01,22.743,129.56,408.55,542900.0,421.66,138.41,301.64,1946.6
43247.0,27025.112,27999.67331032151,0.02385364148097638,26126.0,26581.9,29836.78108341556,24205.558916584443,66.71070629196717,12.499522481567782,2.763,82.82,3.765,914.8,1852.46,4468.83,15128.84,177.97,245.34,322.93,22.821,129.69,423.88,543680.0,429.98,138.56,305.74,1948.9
49670.0,27042.212000000003,28242.492801041277,0.023841035694121243,26053.2,26570.0,30197.910796021188,24177.24920397881,65.10468431771893,11.884461458152074,2.959,84.4,3.7835,892.7,1855.36,4467.71,15101.71,178.19,242.19,322.23,22.731,129.66,425.54,545280.0,428.9,137.85,305.21,1950.6
62570.0,27071.326,28478.632370111853,0.02363144735343247,26635.7,27125.0,30530.8128276283,24246.2871723717,88.65783300576933,14.352973705736204,2.777,82.92,3.7665,904.45,1856.24,4499.38,15273.05,179.8,249.7,326.05,22.807,131.4,446.64,553101.0,438.3,139.94,312.64,1959.9
43247.0,27087.338,28590.258159325414,0.023990168573961013,28726.3,27209.2,30706.837777129764,24411.662222870236,80.00915436548803,11.782132741330486,2.725,81.94,3.835,926.9,1829.11,4518.44,15407.85,178.85,251.45,330.11,23.232,131.53,454.17,551920.0,440.76,142.22,316.56,1970.0
43247.0,27099.254,28669.526134813812,0.02375104316135965,29195.3,26763.5,30830.272277075295,24618.4577229247,78.03841219386092,11.715643375861706,2.577,82.82,3.8675,928.5,1830.24,4478.03,15274.92,181.99,253.86,327.78,23.716,128.11,446.8,533600.0,431.6,139.57,310.73,1976.1
43247.0,27145.77,28749.491344842456,0.023688393322310927,29426.7,26601.0,30938.98048956196,24834.949510438048,77.27515900850024,9.587133058263909,2.565,81.55,3.8995,921.8,1835.98,4501.89,15353.54,191.17,259.32,326.66,23.697,128.45,445.15,541000.0,431.0,128.91,313.19,1968.8
67410.0,27194.022,28814.754214866694,0.023671033820423213,29420.8,26524.7,31071.588924496155,24889.831075503844,83.57978655008357,1.5574577999951211,2.477,79.49,3.8435,930.4,1840.21,4513.39,15370.74,192.58,254.11,327.5,23.872,128.38,442.69,533800.0,429.7,128.21,314.31,1975.0
64010.0,27250.734,28952.822797194895,0.023653622496278073,29449.0,26223.0,31262.76603826065,24897.48396173935,85.03106318133864,1.7704904556555379,2.56,81.37,3.9085,940.4,1874.21,4576.73,15718.01,195.6,261.07,336.34,24.326,131.55,465.07,534400.0,438.62,131.69,322.71,1978.8
43247.0,27287.562,28995.834674549526,0.023692261036000747,29578.0,25834.5,31317.506941905605,25154.093058094393,78.76791660634139,-0.6602847074255624,2.634,81.8,4.008,958.6,1856.17,4588.96,15757.0,196.45,267.43,335.92,24.972,132.72,467.29,535400.0,438.97,133.68,318.6,2009.2
43247.0,27322.234000000004,29044.937032311136,0.022997733335565203,29777.4,25166.4,31336.57576317619,25460.8042368238,76.65598822054638,-0.3596095279530087,2.638,80.58,3.9265,943.7,1874.23,4582.23,15750.93,195.83,266.44,338.37,24.495,132.58,467.5,533113.0,425.78,132.21,325.48,1999.9
43247.0,27347.95,29072.285181186344,0.022583303011087786,29204.2,25909.5,31314.547904678533,25787.402095321464,58.19845411904606,-0.7684471459132758,2.492,80.09,3.8755,945.0,1861.32,4537.41,15464.93,193.22,255.71,330.72,24.243,129.4,459.0,531650.0,413.17,128.25,311.71,1965.3
44330.0,27386.787999999997,29115.34899946537,0.022521220723130984,29105.5,26249.8,31293.204840235012,26100.34515976499,52.91863536589905,-0.7634052336195851,2.665,78.78,3.902,972.0,1872.0,4566.75,15499.26,194.5,264.35,337.77,24.841,129.27,454.52,531900.0,422.67,128.15,298.57,1989.7
43247.0,27415.542,29132.772230316852,0.022169606540741515,29189.3,25758.0,31138.283861897882,26574.136138102116,46.161001511569275,-1.843008456077433,2.73,79.63,3.9155,976.6,1857.67,4567.46,15561.42,193.62,265.28,350.98,24.695,122.21,456.79,528453.0,427.7,129.13,294.47,1983.1
55730.0,27450.536,29139.74573334503,0.022191113471304477,29173.7,25790.2,30896.23267812104,27121.397321878965,45.37661447022516,-0.089370706953118,2.685,78.74,3.8555,969.5,1850.04,4554.64,15448.02,192.75,269.06,345.11,24.451,121.53,446.12,532647.0,428.37,128.8,291.61,1981.6
43247.0,27498.492000000002,29257.18485129195,0.02248844289871604,29712.2,25803.2,30518.734937879555,27883.885062120455,56.83576697275325,2.7403755303980315,2.707,77.07,3.818,972.2,1891.75,4536.34,15425.67,191.94,260.02,343.77,24.855,120.02,443.09,527750.0,427.5,130.0,294.26,1966.6
50330.0,27556.316000000003,29340.848720323957,0.022542959748336446,29232.4,25937.3,29925.345538850444,28793.804461149557,53.38432586656954,2.0956309332529344,2.731,75.63,3.8345,964.1,1891.23,4534.87,15466.09,193.13,262.9,346.87,24.992,119.2,455.2,526240.0,437.42,129.96,302.52,1970.9
43247.0,27614.057999999997,29428.364301812577,0.020671993884163003,29315.0,27298.8,29952.26083599992,28885.229164000084,52.06467118199693,2.522820211354748,2.585,75.35,3.814,984.8,1888.65,4565.72,15826.35,195.1,291.26,355.08,25.387,122.03,470.77,520500.0,477.59,135.36,316.01,1980.8
